source_system,prod_date,shift_code,machine_id,operator_id,product_code,batch_id,planned_units,good_units,downtime_min,changeover_min,overtime_min,speed_rpm,pressure_bar,vibration_mm_s,oil_temp_c,torque_nm,ambient_temp_c,ambient_humidity_pct,actual_cycle_time_sec,scrap_pct,rework_min,defect_flag
ERP,14-10-2025,C,MCH-003,OP-0014,ACP-101,LOT-826786,102,96,7.9,24,14,2571,10.63,3.72,54,58.2,35.6,81.9,86.84,4.99,35.3,1
ERP,29-07-2025,A,MCH-022,OP-0036,ACP-113,LOT-828226,86,82,12.1,25.4,54,3299,10.66,2.88,53,47.5,38.9,75.6,73.14,3.17,7.9,0
ERP,19-11-2025,A,MCH-009,OP-0163,ACP-118,LOT-466153,105,100,27.9,16.2,38,1785,10.59,1.9,60.8,38.8,36.8,54.1,70.75,1.87,0,0
ERP,23-10-2025,A,MCH-016,OP-0144,ACP-109,LOT-672049,51,47,11.9,19.6,24,1212,10.53,3.12,67.6,53.3,26.5,40.9,76.93,4.34,0,0
ERP,29-08-2025,A,MCH-017,OP-0058,ACP-106,LOT-360757,82,79,15.6,13.6,43,3699,10.39,3.36,78.4,40.6,25.9,55.5,71.97,0.73,0,0
ERP,01-02-2026,C,MCH-018,OP-0176,ACP-102,LOT-106376,84,75,24.8,13.7,31,3498,11.19,1.59,70.3,68.5,36.3,63.9,64.3,7.39,31.2,1
ERP,25-09-2025,B,MCH-016,OP-0060,ACP-108,LOT-785106,95,86,36.6,11.9,0,1098,9.99,3.24,73.6,55.3,24.7,46.2,47.91,4.73,4.2,0
ERP,31-08-2025,C,MCH-012,OP-0016,ACP-108,LOT-622835,110,106,6.6,8.6,27,1650,9.15,2.11,63.5,61.2,32.2,78.1,47.76,3.34,40.6,1
ERP,20-11-2025,B,MCH-012,OP-0101,ACP-102,LOT-156909,113,108,33.3,16,23,1656,11.64,0.08,46.7,18,33.5,84,81.14,1.04,14.2,0
ERP,24-01-2026,c,MCH-008,OP-0102,ACP-116,LOT-167937,116,110,9.3,31.2,29,2071,8.87,3.17,79.1,51.8,37.3,57.4,86.45,4.25,28.8,1
ERP,09-09-2025,C,MCH-005,OP-0066,ACP-110,LOT-693342,79,74,30.8,5.2,55,3754,8.42,2.95,87.6,67.4,29.9,72.7,56.36,1.5,0,0
ERP,28-09-2025,B,MCH-014,OP-0128,ACP-104,LOT-871717,104,101,8.7,11.8,61,1793,9.09,2.79,64.5,36.8,26.9,36.8,77.06,1.58,6.8,0
ERP,13-09-2025,A,MCH-006,OP-0095,ACP-102,LOT-362789,84,80,18,16.5,30,2319,10.12,2.98,72.9,64.9,30.7,44.3,71.82,1.51,0.2,0
ERP,23-10-2025,B,MCH-009,OP-0010,ACP-111,LOT-512735,66,52,59.9,14.4,32,1759,10,3.53,60.4,43.1,26.5,40.9,82.23,9.53,35.7,1
ERP,08-01-2026,B,MCH-001,OP-0015,ACP-102,LOT-885762,63,59,20.8,7.2,70,3436,9.11,5.29,72.3,49.4,27.6,43.5,83.77,1.87,0,0
ERP,01-08-2025,B,MCH-007,OP-0146,ACP-114,LOT-823179,87,74,59.1,7.3,34,3574,10.84,2.41,50.7,41.1,34.6,42,58,6.7,31,1
ERP,07-12-2025,A,MCH-007,OP-0144,ACP-115,LOT-514578,101,98,0,16.5,70,4186,9.67,1.05,73.9,58.1,37.4,54.8,48.69,3.35,2.4,0
ERP,08-07-2025,C,MCH-013,OP-0173,ACP-103,LOT-839430,77,74,7.9,10.2,39,3639,9.61,2.84,94.4,55,33.3,77.4,40.49,2.78,11.7,0
ERP,05-11-2025,A,MCH-004,OP-0142,ACP-116,LOT-231450,103,94,10.9,25.2,0,3372,9.82,1.74,63.7,59.1,32.9,74.8,81.48,7.18,0,1
ERP,21-11-2025,C,MCH-014,OP-0020,ACP-118,LOT-465724,70,66,20.2,19.2,31,1755,11.37,2.87,73.3,36.4,29.2,79.2,74.36,1.6,12.3,0
ERP,13-01-2026,A,MCH-020,OP-0171,ACP-117,LOT-983823,85,76,36.7,0.5,5,3053,10.66,0.98,80.6,63.2,30.6,84.5,78.03,5.7,43,1
ERP,24-12-2025,B,MCH-019,OP-0145,ACP-118,LOT-330399,126,119,25.3,3.2,47,3244,9.79,4.76,65.6,39,25.9,72.2,70.39,2.96,4.3,0
ERP,21-11-2025,B,MCH-014,OP-0015,ACP-106,LOT-198402,114,104,26.8,4.9,21,1821,10.29,2.28,62.2,59.6,29.2,79.2,66.67,6.17,9.2,0
ERP,04-09-2025,A,MCH-007,OP-0050,ACP-120,LOT-384524,74,59,64.1,15.3,0,3591,9.53,2.9,61,65.5,34.6,55.6,91.09,8.84,39.1,1
ERP,13-08-2025,A,MCH-008 ,OP-0114,ACP-110,LOT-783342,124,118,24,19.4,36,1887,9.12,1.97,61.5,45.1,32.5,53.9,57.02,2.19,1.5,0
ERP,16-09-2025,B,MCH-015,OP-0014,ACP-118,LOT-216824,66,60,30.2,15.2,33,3596,8.96,1.56,52.3,53.9,24.5,74.8,70.01,3.18,0,0
ERP,14-07-2025,C,MCH-002,OP-0017,ACP-104,LOT-596279,105,103,3.5,20.5,20,3615,10.14,3.69,55,48.8,26.8,48.4,64.01,1.13,1.4,0
ERP,04-12-2025,B,MCH-020,OP-0025,ACP-105,LOT-474547,50,42,42.4,28.6,74,3163,10.92,1.33,67.3,21.8,27,52.4,92,5.53,36.3,1
ERP,18-12-2025,A,MCH-003,OP-0154,ACP-110,LOT-894629,127,122,25.4,5.3,21,2544,8.25,4.04,73.9,61.9,26.6,47.3,52.62,1.61,28.7,0
ERP,18-09-2025,B,MCH-009,OP-0121,ACP-114,LOT-649080,47,44,11.8,14.1,6,1903,10.03,4.72,88.4,46.9,27.1,75.1,57.01,3.93,13.6,0
ERP,12-11-2025,B,MCH-021,OP-0077,ACP-117,LOT-773603,109,105,27.4,7.7,39,2476,8.05,5.12,81,49.8,31.1,58.7,58.28,0.85,12.4,0
ERP,07-07-2025,B,MCH-021,OP-0175,ACP-104,LOT-904097,109,99,25.7,8.5,0,2740,10.05,2.87,56.3,64.7,29.7,74.7,87.89,6.25,33.8,1
ERP,12-08-2025,C,MCH-015,OP-0124,ACP-119,LOT-693954,94,88,23.9,1.2,2,3481,10.57,2.7,62,49.5,37.7,73.6,102.41,3.17,42.5,1
ERP,19-10-2025,C,MCH-012,OP-0109,ACP-115,LOT-682923,103,96,20.4,12.2,36,1615,8.8,2.14,58.8,53.5,34.1,72.2,44.36,4.27,0,0
ERP,01-01-2026,C,MCH-014,OP-0079,ACP-117,LOT-951914,111,105,36.6,20.2,0,1751,10.01,3.49,70.5,76.6,30.7,52.5,73.66,1.53,12.7,0
ERP,04-01-2026,B,MCH-022,OP-0083,ACP-107,LOT-503307,95,85,28.2,18.9,36,3349,10.8,1.8,65.6,61.1,29.4,83.6,56.47,7.03,55.4,1
ERP,14-08-2025,C,MCH-017,OP-0105,ACP-113,LOT-371017,64,56,28.7,10.6,0,3488,8.2,4.91,81.3,58.7,30,76.8,79.55,6.82,26.7,1
ERP,01-09-2025,C,MCH-002,OP-0064,ACP-110,LOT-300028,59,51,29.7,28.8,68,3396,11.32,2.43,58.2,50.7,32.2,67.1,56.46,6.55,32.7,1
ERP,02-08-2025,A,MCH-015,OP-0032,ACP-105,LOT-481807,123,121,9.2,5.4,0,3826,9.02,3.51,85,59.7,28.5,68.9,92.82,0.55,3.9,0
ERP,13-10-2025,C,MCH-001,OP-0121,ACP-113,LOT-501892,55,49,40.2,8.2,0,3406,10.34,3.65,73.8,64.6,29.7,74,72.82,1.04,0,0
ERP,11-01-2026,C,MCH-018,OP-0002,ACP-111,LOT-374440,84,78,30.1,1.2,4,3436,9.33,1.46,75.9,51.8,28.1,41,91.01,2.72,4.9,0
ERP,26-11-2025,A,MCH-022,OP-0131,ACP-108,LOT-883109,55,53,17.3,23,54,3109,9.95,0.74,67.3,37.3,30.4,67.9,42.34,0.61,16,0
ERP,29-12-2025,C,MCH-021,OP-0071,ACP-113,LOT-247617,67,61,44.1,2,0,2448,9.42,4.17,63.8,57.2,35.7,45.1,69.67,0.54,0,0
ERP,11-09-2025,C,MCH-018,OP-0085,ACP-112,LOT-353698,61,56,15.1,19.3,31,3436,9.36,4.3,68.8,62.4,25.2,58.4,63.55,5.62,32.4,1
ERP,26-12-2025,A,MCH-015,OP-0080,ACP-120,LOT-973911,89,85,16.3,14.8,25,3768,10.35,5.71,56.9,47.1,34.6,58.8,94.62,2.06,15.3,0
ERP,14-10-2025,B,MCH-017,OP-0124,ACP-119,LOT-649688,60,54,11.5,10.2,43,3706,9.24,3.18,73.6,48.4,35.6,81.9,107.02,6.79,30.7,1
ERP,06-12-2025,B,MCH-004,OP-0004,ACP-119,LOT-246099,45,44,6.3,5.1,44,3517,10.05,1.55,56.3,42.5,35.2,36.5,88.46,0.25,22.9,0
ERP,21-11-2025,B,MCH-019,OP-0064,ACP-107,LOT-644735,93,90,9.7,15.2,34,3370,8.28,3.51,67.9,62.3,29.2,79.2,72.15,1.59,6,0
ERP,11-08-2025,B,MCH-008,OP-0137,ACP-109,LOT-613861,60,54,37.2,27.5,60,2257,10.15,4.16,63.2,47.8,24.8,80.9,82.68,2.53,19.5,0
ERP,20-12-2025,B,MCH-003,OP-0082,ACP-102,LOT-653378,105,99,18.7,5.6,0,2520,9.42,5.14,66.6,47,31.2,36.4,73.54,3.24,9.6,0
ERP,11-09-2025,A,MCH-014,OP-0139,ACP-118,LOT-107094,112,110,16,5.3,37,1934,10.8,3.86,66.4,48.1,25.2,58.4,66.85,0.38,2.4,0
ERP,08-10-2025,A,MCH-019,OP-0105,ACP-119,LOT-479709,105,99,21.7,3.3,35,3636,8.14,2.08,65.3,60,29.2,78.4,82.65,2.76,5.3,0
ERP,10-07-2025,A,MCH-015,OP-0044,ACP-113,LOT-538835,67,64,19.8,21.3,83,3548,9.03,1.62,67.8,61.7,30.9,78.6,70.1,1.12,11.7,0
ERP,08-11-2025,B,MCH-009,OP-0152,ACP-101,LOT-894249,109,103,10.7,3.1,0,1942,10.04,2.12,57.8,56.4,24.8,80.9,73.95,4.22,6.7,0
ERP,15-08-2025,A,MCH-007,OP-0059,ACP-109,LOT-986710,120,114,22.6,15.3,49,3682,9.12,2.97,60.2,50.9,30.7,45.7,88.64,3.04,11.2,0
ERP,25-09-2025,B,MCH-005,OP-0033,ACP-101,LOT-780759,48,44,17.8,1.1,0,4023,8.54,4.28,60.5,45.1,24.7,46.2,74.29,3.2,0,0
ERP,08-08-2025,B,MCH-022,OP-0099,ACP-101,LOT-172174,57,54,7.8,21.9,10,3259,8.9,2.02,61.3,53.7,24.9,56.5,70.7,2.97,10.1,0
ERP,23-09-2025,B,MCH-005,OP-0097,ACP-110,LOT-628045,105,94,31.9,25.3,13,3406,9.13,1.33,77.2,50.9,38.7,82.2,68.07,6.5,25.9,1
ERP,09-12-2025,A,MCH-005,OP-0126,ACP-116,LOT-948476,107,99,47.8,12.6,0,3824,8.13,4.39,64.1,62.4,25.7,37.5,86.03,1.92,0,0
ERP,30-07-2025,B,MCH-012,OP-0044,ACP-115,LOT-349859,76,72,26.8,17.5,9,1584,8.98,3.06,63.8,61.2,38.4,48.2,51.35,0.39,8.4,0
ERP,14-07-2025,B,MCH-008,OP-0098,ACP-103,LOT-750255,107,103,14.7,6.9,0,2090,12.82,2.85,61.6,60,26.8,48.4,45.94,2.14,0,0
ERP,22-08-2025,B,MCH-013,OP-0113,ACP-112,LOT-278741,84,72,41.6,13.5,30,3656,9.81,2.85,77.8,73.8,25.4,75.5,56.32,8.36,39,1
ERP,24-08-2025,A,MCH-005,OP-0131,ACP-104,LOT-147103,50,47,17.8,14.4,0,3487,9.96,2.91,61.1,80.3,34.6,54.8,75.13,1.21,4.1,0
ERP,18-08-2025,B,MCH-008,OP-0095,ACP-106,LOT-760919,93,90,21.6,22.4,0,1983,9.58,2.95,61.3,57.1,28.7,84.7,79.57,0,0,0
ERP,05-07-2025,A,MCH-014,OP-0044,ACP-119,LOT-895663,67,65,10.5,9.8,24,1783,11,2.88,71.4,56.7,26.5,40.4,92.87,1.47,0,0
ERP,21-11-2025,A,MCH-001,OP-0032,ACP-104,LOT-376947,72,62,42.6,15.8,26,3412,9.73,3.78,86.9,61.4,29.2,79.2,87.61,5.99,3.7,0
ERP,09-07-2025,B,MCH-007,OP-0135,ACP-106,LOT-795657,122,118,14,2.1,7,3939,9.14,2.17,58.4,72.5,24.6,84.7,67.69,1.76,4.9,0
ERP,28-09-2025,A,MCH-017,OP-0036,ACP-119,LOT-528379,58,57,0.1,0.3,0,3468,9.62,,76.1,45.9,26.9,36.8,98.14,2.16,0,0
ERP,02-12-2025,B,MCH-008,OP-0055,ACP-104,LOT-781345,118,114,1.4,15.5,0,2049,10.97,4.79,66.9,45.7,35.2,59.8,83.9,3.29,7.7,0
ERP,14-08-2025,B,MCH-007,OP-0142,ACP-107,LOT-950374,46,44,9.8,11.9,53,3801,10.66,2.74,69.8,47,30,76.8,70.64,1.38,4.1,0
ERP,09-10-2025,C,MCH-016,OP-0101,ACP-115,LOT-830382,59,53,36.4,11.7,28,1225,7.59,3.37,64.4,67.3,25.4,50.3,43.67,2.14,1.3,0
ERP,21-12-2025,A,MCH-012,OP-0028,ACP-103,LOT-898758,52,44,37.6,9.2,0,1737,9.72,3.76,65.1,70.9,26.2,82.9,43.52,6.19,47.2,1
ERP,10-11-2025,B ,MCH-016,OP-0105,ACP-114,LOT-139442,92,85,34.6,11.7,42,1228,10.32,2.76,69.7,45.6,31,52.6,51.97,3.28,0,0
