source_system,prod_date,shift_code,machine_id,operator_id,product_code,batch_id,planned_units,good_units,downtime_min,changeover_min,overtime_min,speed_rpm,pressure_bar,vibration_mm_s,oil_temp_c,torque_nm,ambient_temp_c,ambient_humidity_pct,actual_cycle_time_sec,scrap_pct,rework_min,defect_flag
MES,19-12-2025,A,MCH-002,OP-0016,ACP-104,LOT-405374,65,62,13,6,11,3615,9,2,78,60,29,47,83,2,11,0
MES,29-12-2025,A,MCH-010,OP-0132,ACP-119,LOT-447267,128,117,32,15,0,3170,9,5,69,50,36,45,94,6,28,1
MES,26-11-2025,C,MCH-012,OP-0004,ACP-107,LOT-220507,87,81,17,22,0,1571,12,4,57,54,30,68,72,4,8,0
MES,09-09-2025,A,MCH-018,OP-0130,ACP-116,LOT-976017,115,113,2,9,0,3339,10,2,64,62,30,73,73,1,7,0
MES,21-01-2026,A,MCH-022,OP-0024,ACP-119,LOT-380440,46,37,55,2,33,3320,10,3,77,52,37,67,101,4,46,1
MES,25-11-2025,A,MCH-010,OP-0048,ACP-103,LOT-624457,54,49,26,29,20,3131,10,6,66,56,30,65,36,3,11,0
MES,16-11-2025,C,MCH-017,OP-0128,ACP-107,LOT-608966,62,62,1,19,37,3716,10,5,62,64,36,79,63,1,8,0
MES,01-01-2026,B,MCH-021,OP-0113,ACP-112,LOT-486442,52,49,27,15,35,2538,10,2,62,61,31,53,54,0,0,0
MES,06-01-2026,B,MCH-019,OP-0141,ACP-118,LOT-627046,120,115,31,27,51,3299,10,2,74,67,31,81,68,1,2,0
MES,17-07-2025,C,MCH-007,OP-0110,ACP-104,LOT-609342,113,106,33,20,8,3488,10,3,84,80,38,52,78,3,0,0
MES,06-01-2026,A,MCH-018,OP-0009,ACP-104,LOT-172059,78,71,13,12,0,3458,13,3,49,60,31,81,94,6,37,1
MES,12-12-2025,C,MCH-010,OP-0152,ACP-108,LOT-702168,51,46,31,2,27,2976,11,5,93,47,27,78,40,1,6,0
MES,14-08-2025,A,MCH-001,OP-0039,ACP-105,LOT-202787,54,52,10,7,20,3196,9,4,70,58,30,77,92,2,8,0
MES,05-09-2025,B,MCH-017,OP-0025,ACP-106,LOT-491457,67,60,42,24,31,3613,10,1,73,58,31,55,62,2,8,0
MES,09-12-2025,B,MCH-019,OP-0159,ACP-103,LOT-428240,106,97,40,19,0,3155,9,4,64,59,26,38,44,4,42,1
MES,16-08-2025,B,MCH-008,OP-0036,ACP-117,LOT-502938,113,109,18,10,44,2168,10,3,68,70,25,35,78,1,10,0
