source_system,prod_date,shift_code,machine_id,operator_id,product_code,batch_id,planned_units,good_units,downtime_min,changeover_min,overtime_min,speed_rpm,pressure_bar,vibration_mm_s,oil_temp_c,torque_nm,ambient_temp_c,ambient_humidity_pct,actual_cycle_time_sec,scrap_pct,rework_min,defect_flag
QMS,17-09-2025,A,MCH-004,OP-0139,ACP-110,LOT-664316,62,58,19.9,24.6,98,3484,10.06,2.11,60.3,56.9,26.4,80.4,52.03,1.93,9.7,0
QMS,08-10-2025,C,MCH-009,OP-0059,ACP-101,LOT-206238,99,86,82.9,4.2,5,1946,10.33,1.77,72.3,63.5,29.2,78.4,72.25,2.73,0,0
QMS,07-12-2025,c,MCH-009,OP-0149,ACP-111,LOT-384836,122,118,21.8,10.2,67,1895,10.41,1.53,66.2,42,37.4,54.8,92.31,1.33,6.9,0
QMS,30-11-2025,B,MCH-005,OP-0065,ACP-107,LOT-370936,99,91,39.7,1.1,43,3884,9.59,1.95,48.2,54.9,30.9,70.6,71,3.22,20.9,0
QMS,14-09-2025,B ,MCH-010,OP-0033,ACP-116,LOT-447331,83,82,7.2,28.4,0,3141,10.83,2.41,78.3,39.5,38,58.2,88.49,0.65,0,0
QMS,11-12-2025,B,MCH-016,OP-0018,ACP-116,LOT-732391,116,104,31.2,16.3,51,1250,9.71,,66.4,47.6,26.3,47.9,86.02,6.86,45.6,1
QMS,23-11-2025,A,MCH-018,OP-0083,ACP-105,LOT-574001,113,106,4.3,10.8,0,3484,8.31,3.31,66.5,46.7,34.1,73.5,92.55,5.49,25.9,1
QMS,28-01-2026,A,MCH-005,OP-0020,ACP-117,LOT-887473,89,82,22.6,12,90,3756,10.57,2.87,76.8,44,25.2,74.8,70.58,4.98,38.7,1
QMS,13-01-2026,C,MCH-015,OP-0150,ACP-114,LOT-378034,60,58,19.2,10.4,0,3583,9.58,4.53,72.9,63.2,30.6,84.5,56.36,0,12.5,0
QMS,08-11-2025,B,MCH-007,OP-0113,ACP-109,LOT-112842,104,98,42.6,6.7,0,3803,9.39,5.14,87.9,52.3,24.8,80.9,88.75,0.76,8.6,0
QMS,20-10-2025,B,MCH-004,OP-0084,ACP-101,LOT-765363,95,91,28.9,9.3,64,3409,11.42,2.89,62,83.1,30.5,76,80.5,0.09,10.5,0
QMS,13-11-2025,A,MCH-017,OP-0112,ACP-118,LOT-319257,47,42,33.8,6.4,20,3671,9.56,3.68,75.1,52.9,24.9,84.3,67.22,1.44,0,0
QMS,18-11-2025,A,MCH-007,OP-0005,ACP-103,LOT-798525,99,90,8.6,17,78,3612,10.12,3.86,62.1,45.4,33.6,74.4,40.42,7.74,46.7,1
QMS,14-08-2025,A,MCH-013,OP-0032,ACP-116,LOT-957115,59,55,28.5,0.3,0,3742,10.95,3.21,71.6,61.9,30,76.8,99.96,0.94,13.4,0
QMS,29-01-2026,A,MCH-022,OP-0094,ACP-120,LOT-951753,87,78,50.3,14.7,95,3351,9.22,2.18,77.8,58.2,24.2,48,99.15,2.9,41.4,1
QMS,30-10-2025,B,MCH-010,OP-0045,ACP-113,LOT-551835,128,126,1.5,5.7,0,3540,10.61,3.53,63.5,64.2,30.6,80.7,78.85,1.27,8.4,0
QMS,05-08-2025,A,MCH-016,OP-0155,ACP-115,LOT-841139,92,83,34.7,18.5,41,1249,9.99,1.57,89.9,46.9,38,48.8,46.63,4.95,27.7,1
QMS,29-11-2025,B,MCH-021,OP-0096,ACP-117,LOT-761995,86,84,17.7,1.4,0,2317,11.24,3.57,,48,35,46,66.88,0.29,11.8,0
