source_system,prod_date,shift_code,machine_id,operator_id,product_code,batch_id,planned_units,good_units,downtime_min,changeover_min,overtime_min,speed_rpm,pressure_bar,vibration_mm_s,oil_temp_c,torque_nm,ambient_temp_c,ambient_humidity_pct,actual_cycle_time_sec,scrap_pct,rework_min,defect_flag
SCADA,25-10-2025,C,MCH-010,OP-0110,ACP-111,LOT-952331,86.00,80.00,50.90,2.80,49.00,3118.00,8.97,4.15,72.10,60.10,26.80,60.10,73.36,0.00,9.60,0
SCADA,16-10-2025,A,MCH-010,OP-0127,ACP-107,LOT-974986,115.00,106.00,11.70,2.90,20.00,3095.00,11.36,2.81,59.90,71.10,26.70,57.10,63.92,6.48,50.20,1
SCADA,06-01-2026,B,MCH-017,OP-0103,ACP-114,LOT-318993,72.00,69.00,5.70,17.70,0.00,3513.00,12.40,1.65,60.80,57.70,31.00,81.10,45.65,3.44,0.00,0
SCADA,07-10-2025,A,MCH-007,OP-0051,ACP-107,LOT-247067,111.00,105.00,3.60,20.40,30.00,3673.00,10.53,1.66,60.60,49.30,38.20,37.50,58.86,5.35,0.00,0
SCADA,11-01-2026,C,MCH-013,OP-0007,ACP-118,LOT-106030,92.00,90.00,6.30,16.10,0.00,3751.00,11.34,3.68,57.70,55.60,28.10,41.00,73.44,1.05,0.00,0
SCADA,03-08-2025,C,MCH-021,OP-0130,ACP-102,LOT-123090,116.00,114.00,5.80,6.90,26.00,2255.00,9.91,5.48,60.20,67.70,37.50,75.70,74.89,1.05,0.00,0
SCADA,28-01-2026,B,MCH-006,OP-0152,ACP-101,LOT-495021,126.00,121.00,28.90,23.30,49.00,2065.00,10.03,2.32,76.50,44.20,25.20,74.80,87.01,0.79,0.10,0
SCADA,29-12-2025,B,MCH-022,OP-0045,ACP-110,LOT-681975,118.00,111.00,36.40,0.50,57.00,3318.00,8.68,4.75,74.90,47.40,35.70,45.10,59.01,1.78,0.00,0
SCADA,10-07-2025,A,MCH-008,OP-0021,ACP-120,LOT-139626,83.00,77.00,24.40,2.80,1.00,2168.00,9.69,1.44,56.20,77.30,30.90,78.60,96.10,3.17,22.30,0
SCADA,29-10-2025,A,MCH-015,OP-0030,ACP-119,LOT-285122,50.00,45.00,21.50,27.50,0.00,3466.00,10.50,3.21,77.50,52.90,31.60,74.30,100.16,4.29,14.20,0
